#Acq. time (s)=	5
#Accumulations=	5
#Range (cm-¹)=	100...3500
#Windows=	4
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Instrument=	LabRAM HR Evol
#Detector=	Syncerity OE
#Objective=	x100_VIS
#Grating=	600 (500nm)
#ND Filter=	25%
#Laser=	633nm_Edge
#Hole=	100.021
#Range=	Visible
#Project=	verificaciones
#Sample=	at1
#Site=	plain
#Title=	bolusat1plain
#Remark=	com
#Date=	16.01.2026 16:22
#Acquired=	16.01.2026 16:22:07
100.564	27
101.847	32.5
103.131	34
104.414	32
105.697	29.5
106.979	28.5
108.262	28.5
109.544	28
110.826	30.5
112.109	29.5
113.391	29
114.672	30.5
115.954	29
117.235	29.5
118.515	32
119.796	31
121.076	33
122.357	35.5
123.637	31
124.916	33
126.196	31.5
127.475	32.5
128.754	31.5
130.033	35.5
131.31	34.5
132.589	37
133.867	37.5
135.145	36.5
136.423	37
137.701	36
138.978	37
140.256	35
141.533	37.5
142.809	37.5
144.086	41.5
145.361	39.5
146.637	42
147.913	37.5
149.189	41
150.464	39.5
151.74	41
153.014	40
154.288	43.5
155.563	42
156.838	45
158.112	41.5
159.385	46
160.659	41.5
161.932	39.5
163.206	41.5
164.479	39.5
165.751	42.5
167.024	37.5
168.296	42.5
169.567	40.5
170.84	39
172.112	41.5
173.383	37.5
174.654	36.5
175.925	40.5
177.196	37
178.466	34
179.737	39
181.007	37
182.276	41
183.546	44.5
184.816	43
186.085	41.5
187.354	41
188.624	45.5
189.891	43.5
191.16	41
192.427	40
193.696	40
194.964	40.5
196.231	40
197.499	41.5
198.765	33.5
200.033	37.5
201.298	38.5
202.566	36.5
203.831	40
205.098	38.5
206.363	41.5
207.629	37
208.894	33.5
210.159	37.5
211.424	37
212.689	36
213.953	36.5
215.218	34
216.481	37
217.746	33
219.009	35.5
220.273	33.5
221.536	33.5
222.798	34
224.062	33
225.323	33
226.587	32
227.848	28
229.109	31
230.372	29
231.633	33.5
232.894	29.5
234.156	27.5
235.416	30
236.678	29.5
237.937	26
239.197	28.5
240.457	29
241.717	34
242.976	31
244.235	29.5
245.495	28.5
246.754	30
248.012	32
249.27	30.5
250.529	31
251.787	28
253.045	26
254.302	31
255.56	27
256.817	27.5
258.074	30.5
259.33	26.5
260.586	31.5
261.844	30
263.1	30
264.355	34
265.611	28
266.866	32
268.121	29.5
269.377	29
270.632	30
271.886	28
273.14	27.5
274.394	26
275.648	28.5
276.902	27
278.155	22.5
279.408	31
280.663	32
281.915	25
283.168	28.5
284.42	28
285.673	27
286.925	26
288.176	27.5
289.428	30
290.679	27.5
291.93	28.5
293.181	29
294.432	26.5
295.683	25.5
296.933	29.5
298.183	30.5
299.433	30
300.683	25.5
301.932	31
303.182	29
304.429	28.5
305.678	28
306.927	27
308.176	22
309.424	25
310.672	29
311.92	27
313.168	29
314.415	29.5
315.661	31.5
316.908	28
318.155	32
319.402	27
320.648	24
321.895	28.5
323.139	29.5
324.385	31
325.631	27
326.877	27
328.122	31.5
329.366	27
330.611	25
331.855	28
333.1	32
334.343	32.5
335.587	24
336.831	28
338.074	25.5
339.317	27.5
340.56	28
341.803	27
343.044	28.5
