#Acq. time (s)=	5
#Accumulations=	5
#Range (cm-¹)=	100...3500
#Windows=	4
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Instrument=	LabRAM HR Evol
#Detector=	Syncerity OE
#Objective=	x100_VIS
#Grating=	600 (500nm)
#ND Filter=	25%
#Laser=	633nm_Edge
#Hole=	100.021
#Range=	Visible
#Project=	verificaciones
#Sample=	a2
#Site=	plain
#Title=	bolusa2plain
#Remark=	com
#Date=	16.01.2026 14:06
#Acquired=	16.01.2026 14:06:16
613.857	28.5
615.054	24
616.251	29
617.447	27.5
618.643	28
619.839	25
621.035	31.5
622.229	28
623.425	27.5
624.62	29
625.815	27
627.01	29.5
628.205	31
629.398	29.5
630.592	31
631.786	22
632.98	28
634.172	28.5
635.366	27
636.559	29.5
637.753	28
638.944	28.5
640.137	34
641.33	30.5
642.522	27
643.713	31
644.905	25
646.097	32
647.287	29.5
648.478	26
649.67	25
650.859	31.5
652.05	29
653.241	28.5
654.43	23.5
655.621	26.5
656.811	33
657.999	31
659.189	26
660.378	29
661.567	27
662.755	33
663.944	25
665.133	29.5
666.32	30
667.508	30.5
668.695	33
669.884	29
671.07	36
672.258	30
673.444	26.5
674.631	34
675.817	29
677.004	35
678.19	35.5
679.376	33
680.561	33
681.746	35
682.932	34.5
684.117	32.5
685.302	34.5
686.487	39
687.672	36
688.856	33
690.039	34
691.224	40.5
692.407	35.5
693.59	38.5
694.774	36
695.957	38.5
697.14	33.5
698.323	36.5
699.505	38.5
700.687	39
701.87	41
703.052	43
704.233	42
705.414	50
706.597	57.5
707.778	58
708.958	58
710.139	58.5
711.32	48.5
712.5	45
713.68	41.5
714.86	41.5
716.039	39
717.22	37
718.399	34
719.578	32.5
720.757	33.5
721.935	33
723.114	33
724.292	27
725.471	25
726.649	27.5
727.827	27
729.004	27
730.182	30
731.359	28
732.536	26.5
733.712	28.5
734.889	28
736.065	31
737.242	28.5
738.418	27
739.593	28
740.769	29
741.945	26
743.12	27.5
744.295	26.5
745.47	26
746.644	29
747.819	30
748.993	29
750.168	29.5
751.342	28
752.515	29.5
753.689	29
754.862	28
756.036	30.5
757.209	27.5
758.382	27
759.553	26.5
760.725	28
761.898	28
763.07	28.5
764.242	29.5
765.414	30
766.584	32.5
767.755	28
768.927	28.5
770.098	30.5
771.269	28.5
772.438	30
773.608	28
774.779	28
775.949	29.5
777.117	33
778.287	34
779.457	31.5
780.626	31
781.794	31
782.963	31
784.132	27
785.299	29
786.468	31.5
787.636	33.5
788.803	32
789.971	33
791.139	29.5
792.305	33.5
793.472	29
794.638	32.5
795.805	29.5
796.972	29
798.138	28.5
799.304	30
800.469	30
801.635	31
802.801	29.5
803.966	32.5
805.131	24.5
806.295	32.5
807.461	27
808.624	30.5
809.789	31.5
810.952	31
812.117	31
813.28	29
814.444	29
815.607	31.5
816.769	27.5
817.933	30.5
819.095	24.5
820.258	29
821.42	30.5
822.583	27.5
823.744	28
824.905	29.5
826.068	30.5
827.228	28.5
828.389	27.5
829.551	27
830.711	28
831.871	29
833.032	32.5
834.192	30.5
835.352	26
836.513	28
837.672	30
838.831	30.5
839.99	30.5
841.15	28
842.308	30
843.466	29.5
844.624	32
845.784	21.5
846.941	26
848.099	30
849.256	29.5
850.414	30
851.572	28
852.729	28.5
853.886	29.5
855.042	27
856.198	30.5
857.355	30
858.512	33
859.668	28.5
860.823	31.5
861.979	28
863.134	34.5
864.289	30.5
865.444	29
866.599	27
867.753	29.5
868.908	26.5
870.062	29
871.216	31
872.37	27.5
873.523	28
874.677	31.5
875.83	30
876.983	31.5
878.136	31
879.289	29
880.441	25.5
881.594	27.5
882.746	24
883.898	29
885.05	29
886.201	30.5
887.353	28
888.504	29
889.655	25.5
890.806	30
891.956	24
893.107	27
894.257	32
895.407	28.5
896.557	32
897.707	22.5
898.856	30
900.005	26.5
901.154	27.5
902.304	26.5
903.453	27.5
904.6	27.5
905.749	30
906.897	26
908.046	28
909.192	30
910.34	26.5
911.488	25.5
912.634	28
913.782	25
914.929	29
916.076	26.5
917.222	30.5
918.368	32
919.515	24
920.66	26
921.806	27.5
922.951	28
924.097	33
925.242	27.5
926.387	28
927.532	30
928.676	26
929.821	27.5
930.965	24.5
932.109	27
933.253	24
934.396	28.5
935.54	23
936.683	27.5
937.826	25
938.969	27.5
940.112	28.5
941.254	28.5
942.397	24
943.538	26.5
944.681	25.5
945.822	27.5
946.964	27
948.105	26.5
949.246	31
950.388	27
951.528	27.5
952.669	30
953.809	25
954.949	31.5
956.09	27
957.229	26.5
958.369	28.5
959.509	25
960.648	28
961.786	25
962.926	29.5
964.065	31
965.203	28
966.342	29.5
967.48	25.5
968.618	30
969.755	29
970.894	28
972.031	26.5
973.168	26.5
974.305	31.5
975.441	27
976.579	27
977.715	24
978.851	26
979.987	26
981.123	28
982.26	27.5
983.395	28
984.531	28.5
985.666	30
986.8	26.5
987.935	27.5
989.07	26.5
990.204	29
991.338	26
992.472	25.5
993.607	23
994.741	27.5
995.874	28.5
997.008	24
998.141	25
999.274	25
1000.41	25
1001.54	24
1002.67	29
1003.8	26.5
1004.94	30
1006.07	26
1007.2	31
1008.33	30
1009.46	28.5
1010.59	24.5
1011.72	31
1012.85	22
1013.99	28.5
1015.12	26
1016.25	29.5
1017.38	25.5
1018.51	27
1019.63	27
1020.76	25.5
1021.89	24
1023.02	28.5
1024.15	26.5
1025.28	26.5
1026.41	26
1027.54	25
1028.67	24
1029.79	27.5
1030.92	22
1032.05	26
1033.18	29
1034.3	27.5
1035.43	27
1036.56	23
1037.68	23
1038.81	24.5
1039.94	29.5
1041.06	26
1042.19	27.5
1043.31	27
1044.44	29
1045.57	25
1046.69	27
1047.82	21
1048.94	23.5
1050.07	22.5
1051.19	26.5
1052.31	26
1053.44	29
1054.56	26.5
1055.69	24.5
1056.81	23.5
1057.93	30
1059.06	27.5
1060.18	26.5
1061.3	23.5
1062.42	28.5
1063.55	30.5
1064.67	27
1065.79	22.5
1066.91	27
1068.03	25
1069.16	25.5
1070.28	27.5
1071.4	22
1072.52	27.5
1073.64	27
1074.76	28.5
1075.88	25.5
1077	27
1078.12	26
1079.24	24.5
1080.36	28
1081.48	26.5
1082.6	26.5
1083.72	24
1084.84	23.5
1085.96	29
1087.08	24
