#Acq. time (s)=	5
#Accumulations=	5
#Range (cm-¹)=	100...3500
#Windows=	4
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Instrument=	LabRAM HR Evol
#Detector=	Syncerity OE
#Objective=	x100_VIS
#Grating=	600 (500nm)
#ND Filter=	25%
#Laser=	633nm_Edge
#Hole=	100.021
#Range=	Visible
#Project=	verificaciones
#Sample=	a2
#Site=	plain
#Title=	bolusa2plain
#Remark=	com
#Date=	16.01.2026 14:11
#Acquired=	16.01.2026 14:11:42
100.687	26
101.971	33
103.254	34.5
104.537	33
105.82	31.5
107.103	32
108.387	31.5
109.669	31
110.951	29
112.233	28
113.514	31
114.796	33
116.077	35
117.358	32
118.639	31
119.919	34.5
121.2	34
122.48	34.5
123.76	32
125.039	30.5
126.319	34
127.598	39.5
128.877	36
130.156	31
131.435	32
132.713	37.5
133.992	38
135.268	34
136.546	34
137.824	39.5
139.101	32.5
140.378	35
141.655	39.5
142.932	43
144.209	39
145.485	44
146.76	39
148.036	37
149.312	40.5
150.587	41.5
151.862	45.5
153.138	39
154.411	43
155.686	41
156.96	39
158.235	40
159.509	42.5
160.781	42.5
162.055	44
163.328	46.5
164.602	40.5
165.873	43
167.146	38.5
168.419	40.5
169.691	38.5
170.962	40
172.234	40
173.506	39
174.777	42.5
176.047	41
177.318	44.5
178.589	41.5
179.859	46
181.129	45
182.4	43
183.668	41.5
184.938	41.5
186.207	46
187.476	42
188.746	45
190.013	44.5
191.282	40
192.551	38
193.818	41.5
195.086	44.5
196.353	42
197.621	43
198.887	39
200.154	42
201.422	40.5
202.687	39
203.954	38
205.219	36.5
206.486	35.5
207.751	36.5
209.017	35.5
210.281	37
211.547	35
212.811	37
214.076	36
215.339	35
216.603	38
217.867	35
219.13	38
220.395	38
221.657	27
222.921	37
224.183	33.5
225.445	33
226.708	32.5
227.97	33.5
229.232	32
230.493	25.5
231.754	36.5
233.016	32.5
234.277	30.5
235.537	31.5
236.799	32.5
238.059	30
239.318	28.5
240.579	31.5
241.839	33
243.098	25
244.358	30.5
245.617	31
246.875	33.5
248.133	33
249.393	29.5
250.651	30
251.908	27.5
253.166	27
254.424	33
255.681	31.5
256.938	30
258.195	34
259.451	26
260.709	32
261.965	32
263.221	30.5
264.476	31
265.732	31
266.988	32.5
268.243	32
269.498	30.5
270.753	32.5
272.007	27
273.261	28
274.515	30.5
275.769	29
277.022	28.5
278.277	30
279.53	31.5
280.783	24
282.036	31.5
283.289	32.5
284.541	29
285.793	33
287.045	28.5
288.297	31.5
289.548	29
290.8	30.5
292.051	30.5
293.302	28.5
294.552	29
295.803	33
297.053	29.5
298.303	32
299.553	31
300.803	27.5
302.053	31
303.302	29.5
304.551	29.5
305.8	28.5
307.047	28.5
308.296	32.5
309.544	27.5
310.792	28
312.04	33.5
313.288	28.5
314.535	27
315.783	28
317.03	31
318.275	28
319.522	29
320.768	28
322.015	30.5
323.261	30.5
324.505	27.5
325.751	28.5
326.997	28
328.242	26
329.487	29.5
330.73	27
331.975	33
333.22	27
334.464	25
335.707	29.5
336.95	29.5
338.194	32.5
339.438	23
340.68	29
341.923	30
343.166	22
344.407	30.5
345.649	33
346.892	31
348.132	30.5
349.374	28.5
350.616	28.5
351.856	27
353.097	30
354.337	31
355.578	23.5
356.818	30
358.058	28
359.298	25
360.536	28
361.776	30.5
363.016	30
364.254	25
365.493	28.5
366.731	28.5
367.97	28
369.207	31.5
370.446	28
371.683	34
372.921	27
374.157	27.5
375.395	30.5
376.631	29
377.868	26.5
379.104	26
380.341	26.5
381.576	28.5
382.813	30
384.048	29
385.284	29.5
386.518	31
387.753	30
388.988	29
390.222	29.5
391.457	30.5
392.691	29.5
393.924	30
395.159	33.5
396.392	27.5
397.624	33
398.858	29.5
400.091	29
401.323	31
402.556	29.5
403.788	28
405.019	27.5
406.252	29
407.483	27.5
408.714	32.5
409.945	26.5
411.177	31.5
412.407	28.5
413.637	30.5
414.867	28
416.099	26.5
417.328	30.5
418.558	29.5
419.787	29.5
421.016	27.5
422.246	25
423.475	29
424.703	29.5
425.931	33
427.159	30.5
428.388	29.5
429.616	28.5
430.843	29
432.071	28.5
433.298	26
434.524	32
435.751	26.5
436.977	32
438.204	31
439.431	30
440.657	26
441.883	32
443.108	31
444.333	30
445.558	28
446.783	28
448.008	29
449.232	30
450.457	31.5
451.681	29
452.905	30
454.128	30.5
455.352	28.5
456.575	30
457.798	28.5
459.021	29.5
460.244	30.5
461.466	29
462.689	29
463.909	33.5
465.131	30.5
466.353	33
467.575	34
468.796	38.5
470.017	38
471.238	35.5
472.459	38.5
473.679	41
474.898	40
476.118	44
477.338	43
478.558	47
479.778	47.5
480.997	52
482.215	56
483.434	61
484.653	61
485.871	67.5
487.09	62
488.307	61.5
489.525	60
490.743	60
491.96	62.5
493.176	55.5
494.394	57.5
495.611	54.5
496.826	54
498.043	48
499.259	48.5
500.474	44.5
501.69	42
502.906	44
504.121	42.5
505.336	36.5
506.551	36
507.765	37.5
508.98	35
510.195	35
511.408	36.5
512.622	36.5
513.835	30.5
515.049	37.5
516.263	33
517.475	37
518.689	36
519.9	35
521.113	33
522.325	34.5
523.537	32.5
524.748	31
525.961	31
527.171	32
528.383	32
529.594	31
530.805	27.5
532.015	32
533.226	29
534.435	29
535.646	34
536.855	29
538.066	28.5
539.274	30
540.483	30.5
541.693	31
542.901	30.5
544.11	29.5
545.318	27.5
546.526	29.5
547.734	29
548.942	27.5
550.149	28
551.357	31
552.563	33
553.77	30.5
554.978	30
556.184	30
557.389	28.5
558.596	32
559.802	33.5
561.007	27
562.212	23
563.419	29.5
564.623	28.5
565.828	30.5
567.032	27
568.238	26.5
569.442	33.5
570.646	31
571.849	26
573.054	31
574.257	27
575.46	28.5
576.663	28
577.866	27
579.068	28
580.272	27.5
581.474	29.5
582.676	28.5
583.877	32.5
585.079	29
586.28	29.5
587.481	28
588.682	29
589.883	29
591.083	25
592.285	24
593.485	22
594.685	26
595.885	28
597.084	27
598.284	28
599.483	29
600.682	29
601.881	25.5
603.08	28.5
604.278	31.5
605.476	29
606.674	30
607.872	27
609.07	27
610.266	28.5
611.463	30.5
612.661	27
613.857	26
615.054	31.5
616.251	32.5
617.447	27
618.643	28.5
619.839	29
621.035	29.5
622.229	32.5
623.425	30
624.62	29
625.815	28
627.01	33
628.205	29
629.398	26.5
630.592	26
631.786	30
632.98	30
634.172	25
635.366	32
636.559	28
637.753	29
638.944	27.5
640.137	31.5
641.33	28.5
642.522	30
643.713	30.5
644.905	30.5
646.097	27.5
647.287	28
648.478	36
649.67	27
650.859	28
652.05	28
653.241	29
654.43	31
655.621	28
656.811	32
657.999	30.5
659.189	30.5
660.378	31
661.567	33
662.755	25.5
663.944	32
665.133	31
666.32	29.5
667.508	31.5
668.695	30.5
669.884	29.5
671.07	30
672.258	32.5
673.444	33
674.631	31.5
675.817	31.5
677.004	34
678.19	32.5
679.376	34.5
680.561	37
681.746	31.5
682.932	35.5
684.117	34
685.302	35
686.487	38
687.672	33.5
688.856	35
690.039	34
691.224	36
692.407	34.5
693.59	34.5
694.774	33.5
695.957	34
697.14	36
698.323	39.5
699.505	37.5
700.687	36.5
701.87	39
703.052	35.5
704.233	41.5
705.414	46
706.597	51.5
707.778	49.5
708.958	53.5
710.139	50
711.32	48
712.5	46.5
713.68	42
714.86	42
716.039	37.5
717.22	33
718.399	36
719.578	33
720.757	33.5
721.935	30
723.114	30.5
724.292	32.5
725.471	30.5
726.649	30.5
727.827	25
729.004	30
730.182	31
731.359	29.5
732.536	30.5
733.712	29.5
734.889	25.5
736.065	23
737.242	31
738.418	26
739.593	29.5
740.769	35.5
741.945	26.5
743.12	27
744.295	26.5
745.47	30
746.644	30
747.819	27
748.993	31
750.168	29
751.342	29
752.515	29
753.689	30
754.862	30.5
756.036	32.5
757.209	28
758.382	29.5
759.553	24
760.725	27.5
761.898	30
763.07	27.5
764.242	25.5
765.414	27.5
766.584	27.5
767.755	28
768.927	31
770.098	29
771.269	31.5
772.438	27
773.608	30
774.779	29
775.949	32
777.117	27.5
778.287	32.5
779.457	29
780.626	31.5
781.794	28.5
782.963	32
784.132	34
785.299	31.5
786.468	30
787.636	34
788.803	31.5
789.971	34
791.139	33.5
792.305	32.5
793.472	35
794.638	31.5
795.805	30
796.972	30
798.138	29
799.304	32.5
800.469	30
801.635	33.5
802.801	30.5
803.966	25
805.131	29.5
806.295	32
807.461	26.5
808.624	23
809.789	28
810.952	31.5
812.117	33.5
813.28	32.5
814.444	28
815.607	26
816.769	31
817.933	27.5
819.095	27
820.258	29
821.42	32.5
822.583	27.5
823.744	31.5
824.905	29
826.068	28
827.228	27
828.389	33
829.551	26
830.711	28
831.871	28
833.032	27
834.192	26.5
835.352	30
836.513	26.5
837.672	33
838.831	25
839.99	29.5
841.15	30.5
842.308	30
843.466	25.5
844.624	31
845.784	31.5
846.941	29
848.099	29
849.256	28
850.414	28
851.572	27
852.729	25.5
853.886	25.5
855.042	27.5
856.198	30.5
857.355	33.5
858.512	30
859.668	32
860.823	33
861.979	33
863.134	30
864.289	31
865.444	30
866.599	31
867.753	25
868.908	28
870.062	26
871.216	27.5
872.37	27
873.523	26
874.677	35
875.83	29.5
876.983	27
878.136	27
879.289	27
880.441	30
881.594	26
882.746	28.5
883.898	30.5
885.05	23
886.201	28
887.353	27.5
888.504	26
889.655	29
890.806	27
891.956	23
893.107	28
894.257	29
895.407	28
896.557	30
897.707	30.5
898.856	26
900.005	28.5
901.154	28.5
902.304	27
903.453	28.5
904.6	26
905.749	32
906.897	26.5
908.046	27
909.192	26
910.34	25.5
911.488	25.5
912.634	30
913.782	28
914.929	28
916.076	24
917.222	26.5
918.368	31
919.515	25
920.66	26
921.806	30.5
922.951	29
924.097	30.5
925.242	27.5
926.387	25.5
927.532	28.5
928.676	26
929.821	29
930.965	27
932.109	26.5
933.253	23.5
934.396	27.5
935.54	26.5
936.683	27
937.826	25
938.969	25.5
940.112	26.5
941.254	23.5
942.397	28
943.538	29.5
944.681	26.5
945.822	28
946.964	27
948.105	25
949.246	27.5
950.388	30.5
951.528	30
952.669	26.5
953.809	28
954.949	23.5
956.09	25.5
957.229	26
958.369	28
959.509	21
960.648	24.5
961.786	24
962.926	20.5
964.065	26.5
965.203	25
966.342	28.5
967.48	31
968.618	27.5
969.755	26
970.894	25.25
972.031	24
973.168	26
974.305	22.5
975.441	26
976.579	24
977.715	27.5
978.851	28
979.987	29
981.123	26.5
982.26	27.5
983.395	26.5
984.531	25
985.666	27
986.8	30
987.935	26
989.07	26
990.204	29.5
991.338	29
992.472	27.5
993.607	31.5
994.741	29
995.874	19
997.008	21.5
998.141	27
999.274	25.5
1000.41	28.5
1001.54	24.5
1002.67	27.5
1003.8	27.5
1004.94	27.5
1006.07	25.5
1007.2	27.5
1008.33	28
1009.46	28
1010.59	25.5
1011.72	29
1012.85	25
1013.99	27.5
1015.12	20
1016.25	25
1017.38	25
1018.51	28.5
1019.63	28
1020.76	27
1021.89	22.5
1023.02	29.5
1024.15	25
1025.28	26.5
1026.41	24
1027.54	23
1028.67	29
1029.79	21.5
1030.92	22
1032.05	26
1033.18	23
1034.3	28
1035.43	23.5
1036.56	22
1037.68	26.5
1038.81	27
1039.94	24
1041.06	22
1042.19	25.5
1043.31	24.5
1044.44	25.5
1045.57	26.5
1046.69	25
1047.82	23
1048.94	23
1050.07	24
1051.19	27.5
1052.31	26
1053.44	25.5
1054.56	25
1055.69	27
1056.81	25.5
1057.93	28
1059.06	25
1060.18	23
1061.3	27.5
1062.42	22
1063.55	25
1064.67	27
1065.79	25.5
1066.91	28
1068.03	25.5
1069.16	25
1070.28	25.5
1071.4	25.5
1072.52	28.5
1073.64	26
1074.76	26.5
1075.88	26
1077	22
1078.12	25
1079.24	24.5
1080.36	25
1081.48	24.5
1082.6	26
1083.72	23
1084.84	27
1085.96	22
1087.08	23.5
1088.2	25.5
1089.31	26
1090.43	30
1091.55	24
1092.67	23.5
1093.78	24
1094.9	25.5
1096.02	27.5
1097.14	25
1098.25	25
1099.37	28
1100.49	22
1101.6	24
1102.72	27
1103.83	23
1104.95	25.5
1106.07	25.5
1107.18	27
1108.3	27.5
1109.41	26.5
1110.52	29.5
1111.64	23
1112.75	20.5
1113.87	26
1114.98	28
1116.1	30
1117.21	24
1118.32	31.5
1119.44	26
1120.55	23
1121.66	25
1122.78	24.5
1123.89	23.5
1125	23
1126.11	27
1127.23	26
1128.34	25
1129.45	26.5
1130.56	25
1131.67	24
1132.78	23.5
1133.89	26.5
1135	28
1136.12	21.5
1137.23	26
1138.34	24
1139.45	19
1140.56	26
1141.67	23.5
1142.78	25
1143.89	26
1144.99	24
1146.1	24.5
1147.21	25
1148.32	25
1149.43	25
1150.54	27
1151.65	25.5
1152.75	21
1153.86	27
1154.97	22
1156.08	25
1157.18	26.5
1158.29	24.5
1159.4	25
1160.5	25
1161.61	19.5
1162.72	27
1163.82	21.5
1164.93	22.5
1166.03	25
1167.14	22.5
1168.24	30
1169.35	25
1170.45	25
1171.56	24.5
1172.66	23
1173.77	26.5
1174.87	27
1175.98	24.5
1177.08	25
1178.19	26
1179.29	23.5
1180.39	25.5
1181.5	28
1182.6	23
1183.7	27.5
1184.8	23
1185.91	26.5
1187.01	25
1188.11	23
1189.21	27
1190.32	22.5
1191.42	24.5
1192.52	24.5
1193.62	22.5
1194.72	23.0014
1195.82	26.4491
1196.92	23.553
1198.02	26.0458
1199.12	23.4808
1200.22	28.3156
1201.32	26.2959
1202.42	25.3957
1203.52	23.4107
1204.62	26.7319
1205.72	23.4604
1206.82	24.5326
1207.92	23.4651
1209.02	23.0848
1210.12	26.493
1211.22	20.9708
1212.31	23.5221
1213.41	24.0951
1214.51	21.769
1215.61	23.557
1216.71	26.7565
1217.8	25.593
1218.9	22.9057
1220	24.8861
1221.09	20.3026
1222.19	25.5049
1223.29	23.1512
1224.38	26.7277
1225.48	22.4673
1226.58	27.0247
1227.67	24.9534
1228.77	25.4323
1229.86	26.7279
1230.96	27.3181
1232.05	24.9903
1233.15	24.4895
1234.24	25.3029
1235.34	26.241
1236.43	22.6438
1237.52	24.6165
1238.62	23.3932
1239.71	27.2726
1240.81	22.7738
