#Acq. time (s)=	5
#Accumulations=	5
#Range (cm-¹)=	100...3500
#Windows=	4
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Instrument=	LabRAM HR Evol
#Detector=	Syncerity OE
#Objective=	x100_VIS
#Grating=	600 (500nm)
#ND Filter=	25%
#Laser=	633nm_Edge
#Hole=	100.021
#Range=	Visible
#Project=	verificaciones
#Sample=	at3
#Site=	plain
#Title=	bolusat3plain
#Remark=	com
#Date=	16.01.2026 16:48
#Acquired=	16.01.2026 16:48:26
100.564	27
101.847	33
103.131	32.5
104.414	30
105.697	29.5
106.979	31.5
108.262	29
109.544	28
110.826	30
112.109	28
113.391	30
114.672	30
115.954	33
117.235	32
118.515	24
119.796	29
121.076	31
122.357	29.5
123.637	35
124.916	33
126.196	31
127.475	30.5
128.754	27.5
130.033	31
131.31	28
132.589	33
133.867	36.5
135.145	32.5
136.423	32
137.701	36.5
138.978	33
140.256	38
141.533	37
142.809	37.5
144.086	38
145.361	41
146.637	36.5
147.913	38
149.189	44
150.464	43
151.74	39
153.014	44
154.288	43
155.563	37.5
156.838	41
158.112	38.5
159.385	45.5
160.659	40.5
161.932	42
163.206	44
164.479	39.5
165.751	42.5
167.024	42
168.296	40
169.567	43.5
170.84	44.5
172.112	37.5
173.383	34.5
174.654	38
175.925	37.5
177.196	37.5
178.466	42
179.737	42.5
181.007	37
182.276	39
183.546	47.5
184.816	47
186.085	39
187.354	39.5
188.624	44
189.891	42
191.16	40
192.427	40
193.696	42.5
194.964	37.5
196.231	39
197.499	43.5
198.765	39
200.033	37
201.298	33.5
202.566	39
203.831	35.5
205.098	37.5
206.363	37.5
207.629	38.5
208.894	36
210.159	38
211.424	33
212.689	38
213.953	37.5
215.218	36.5
216.481	34
217.746	28
219.009	34
220.273	32
221.536	31
222.798	38
224.062	33
225.323	30.5
226.587	31
227.848	30.5
229.109	30.5
230.372	32
231.633	28.5
232.894	28
234.156	31.5
235.416	31.5
236.678	32.5
237.937	32
239.197	32
240.457	29.5
241.717	28.5
242.976	31
244.235	27.5
245.495	31
246.754	26
248.012	30.5
249.27	32
250.529	25
251.787	28.5
253.045	30.5
254.302	31
255.56	31
256.817	33
258.074	29
259.33	28
260.586	31.5
261.844	26
263.1	26
264.355	30
265.611	27
266.866	30.5
268.121	30.5
269.377	28
270.632	29
271.886	27.5
273.14	28
274.394	26
275.648	32
276.902	31
278.155	28.5
279.408	30.5
280.663	32
281.915	32
283.168	25.5
284.42	28
285.673	26
286.925	25
288.176	27
289.428	27
290.679	26
291.93	27.5
293.181	28
294.432	27
295.683	26
296.933	27.5
298.183	25.5
299.433	27
300.683	29
301.932	29
303.182	22.5
304.429	33.5
305.678	27
306.927	30
308.176	32.5
309.424	30
310.672	27.5
311.92	28
313.168	25
314.415	28.5
315.661	27
316.908	29
318.155	30
319.402	29
320.648	28
321.895	30.5
323.139	30
324.385	26.5
325.631	27.5
326.877	29.5
328.122	30
329.366	31.5
330.611	25
331.855	28.5
333.1	26
334.343	25
335.587	30
336.831	25.5
338.074	28
339.317	26.5
340.56	35
341.803	29.5
343.044	29
344.287	24.5
345.53	26
346.771	27
348.013	23
349.255	29.5
350.495	29
351.736	30
352.978	29
354.217	32.5
355.458	28.5
356.699	29
357.938	27.5
359.178	28.5
360.417	30.5
361.657	26.5
362.895	28.5
364.135	26.5
365.374	29
366.612	30
367.851	25
369.088	27
370.327	25
371.564	34
372.802	32
374.038	28
375.276	27
376.512	24.5
377.749	26
378.985	32
380.222	26
381.457	28
382.692	31.5
383.929	29.5
385.164	27.5
386.4	25.5
387.634	29
388.869	30
390.103	28
391.337	30
392.572	28
393.805	28
395.038	25
396.273	27
397.506	31.5
398.74	28
399.972	27
401.204	29
402.437	29
403.669	31
404.901	28
406.132	29
407.365	28
408.596	28.5
409.826	23
411.058	28
412.289	28.5
413.519	30
414.749	28
415.98	29
417.21	25
418.439	26
419.668	21
420.897	26.5
422.128	27
423.356	27
424.585	31
425.813	25.5
427.041	33.5
428.269	26.5
429.498	28
430.725	27
431.952	28.5
433.179	27
434.406	27
435.633	29
436.859	26.5
438.085	24.5
439.312	29.5
440.537	28.5
441.764	27
442.99	24.5
444.215	21
445.44	27.5
446.665	26.5
447.89	29.5
449.114	30
450.339	27.5
451.563	28
452.787	26
454.01	28
455.234	29.5
456.457	28
457.68	28
458.903	30.5
460.126	27
461.348	27.5
462.569	32
463.792	30
465.013	27.5
466.235	30
467.457	28
468.678	33
469.899	32.5
471.12	32.5
472.341	33
473.56	35.5
474.781	39
476.001	37
477.221	39.5
478.441	38
479.66	43.5
480.878	43
482.098	49.5
483.317	56.5
484.535	57
485.754	61
486.971	66.5
488.189	65
489.407	68
490.625	63.5
491.842	62.5
493.059	59
494.276	53.5
495.493	55
496.709	55.5
497.926	47
499.142	48
500.357	47.5
501.573	41
502.789	41
504.003	40
505.219	39.5
506.434	39.5
507.648	34
508.863	40
510.078	33.5
511.291	37
512.505	35.5
513.718	34
514.932	34.5
516.145	35.5
517.358	30
518.572	32.5
519.783	32
520.997	27.5
522.208	30
523.421	30.5
524.632	28
525.844	31
527.055	28.5
528.266	31
529.477	30
530.688	30
531.898	32
533.109	30
534.319	29
535.53	29
536.739	30
537.948	29.5
539.158	25
540.366	30.5
541.576	31
542.784	29
543.994	24.5
545.201	27.5
546.409	31
547.618	25
548.825	30
550.032	29
551.24	26.5
552.447	30
553.654	25.5
554.861	26.5
556.067	26
557.273	25.5
558.48	24
559.686	27
560.891	26.5
562.096	27
563.302	23.5
564.507	28.5
565.712	29.5
566.916	29
568.122	28
569.326	25.5
570.529	27.5
571.733	28.5
572.936	26
574.141	27
575.344	29
576.547	25
577.75	27.5
578.952	29
580.154	25.5
581.358	24
582.56	28.5
583.761	28.5
584.963	25
586.164	32
587.365	29.5
588.566	28
589.767	27
590.967	28
592.168	24
593.369	28
594.569	24
595.769	26
596.969	28.5
598.168	22.5
599.367	26
600.566	29.5
601.765	24
602.964	27.5
604.162	29
605.361	28
606.559	29
607.757	27.5
608.953	29.5
610.151	30.5
611.348	29
612.545	28.5
613.742	28
614.939	31
616.135	25.5
617.332	26
618.528	28
619.724	27
620.918	24.5
622.114	27
623.309	28
624.505	31
625.7	31
626.895	26.5
628.088	25
629.282	29
630.477	30.5
631.671	24
632.865	33
634.057	28.5
635.251	27
636.444	27
637.637	23
638.829	27.5
640.022	31
641.214	26.5
642.407	27
643.598	29
644.79	27
645.982	30.5
647.172	25.5
648.364	30
649.555	26.5
650.745	28
651.936	32
653.126	23.5
654.315	26
655.506	27
656.696	32
657.885	28
659.074	31
660.263	31
661.452	27.5
662.64	31.5
663.829	31
665.018	28
666.205	29.5
667.394	31
668.581	30
669.769	27
670.955	28
672.143	28
673.329	29
674.517	31
675.703	32
676.89	26
678.075	32.5
679.262	30
680.447	31
681.632	31.5
682.818	30
684.002	33
685.188	32
686.372	36.5
687.556	35
688.741	34.5
689.925	35
691.11	32
692.293	36
693.476	35.5
694.66	32
695.843	34
697.025	35
698.209	34
699.391	34
700.573	34
701.756	39.5
702.938	44
704.119	39
705.3	47
706.483	48.5
707.664	51
708.844	48
710.025	54.5
711.206	50
712.386	46.5
713.566	40.5
714.746	38.5
715.925	37
717.106	35.5
718.285	36
719.464	33.5
720.643	30.5
721.822	29
723	31
724.178	29
725.358	32
726.536	30
727.713	27.5
728.891	33
730.068	29
731.245	26
732.422	31
733.599	28
734.775	26.5
735.952	25.5
737.128	26
738.304	22.5
739.48	29.5
740.656	26
741.831	23
743.006	25.5
744.181	29
745.356	28.5
746.531	26
747.706	24
748.88	29
750.054	29
751.228	26
752.402	27.5
753.576	25.5
754.749	27
755.922	26
757.095	28
758.267	29
759.44	28
760.612	25.5
761.785	27
762.957	23
764.129	28.5
765.301	28
766.471	33.5
767.642	26
768.814	25
769.985	28
771.156	23.5
772.325	28
773.495	27.5
774.666	29
775.836	24
777.005	29.5
778.174	29
779.344	30.5
780.513	24.5
781.681	32.5
782.85	29
784.019	30.5
785.187	33
786.355	31
787.523	33.5
788.69	33
789.858	30.5
791.026	31
792.192	34
793.36	32
794.526	28.5
795.693	31
796.86	26
798.025	33
799.191	27.5
800.356	28.5
801.523	26
802.689	25
803.853	29.5
805.019	28.5
806.183	28
807.348	30
808.512	30.5
809.677	26.5
810.84	31
812.005	31.5
813.167	26
814.332	26
815.494	28.5
816.657	29
817.82	27
818.982	30.5
820.146	25
821.307	26.5
822.47	25
823.632	25
824.793	24.5
825.955	27
827.116	27
828.277	27
829.439	31
830.599	27
831.759	28.5
832.92	26
834.08	31
835.24	26
836.4	28.5
837.56	30.5
838.719	28.5
839.877	28.5
841.037	27
842.196	29
843.354	26.5
844.512	28.5
845.672	29
846.83	22
847.987	25
849.145	24.5
850.302	29
851.46	27
852.617	31
853.774	28
854.93	26.5
856.087	27
857.243	27.5
858.4	32
859.556	26.5
860.712	25.5
861.867	29
863.022	31
864.177	28.5
865.332	30.5
866.487	23
867.642	29
868.796	28
869.95	28
871.104	25.5
872.258	25
873.412	28
874.565	34
875.718	29
876.872	27.5
878.024	28.5
879.177	26.5
880.33	28
881.482	31
882.635	29.5
883.787	25.5
884.938	28.5
886.09	30
887.242	28
888.393	29.5
889.544	23
890.695	27.5
891.845	24
892.995	27
894.146	26
895.296	25
896.446	30
897.596	22
898.744	28
899.894	26
901.043	26
902.193	32
903.342	27.5
904.489	24.5
905.638	27
906.786	26.5
907.935	24
909.081	28.5
910.229	25
911.377	27
912.525	21.5
913.671	23
914.818	28.5
915.965	22
917.111	25
918.258	26
919.404	26
920.549	24.5
921.695	25
922.84	25
923.986	24
925.132	24
926.276	31
927.421	21.5
928.565	27
929.71	21.5
930.855	28
931.998	27.5
933.142	27
934.285	25.5
935.429	26
936.572	26.5
937.716	27.5
938.858	25.5
940.001	20
941.143	23.5
942.286	25
943.428	26.5
944.57	25.5
945.712	25.5
946.854	27
947.995	27
949.135	24
950.277	28
951.418	21.5
952.559	25.5
953.699	26.5
954.839	27
955.98	29
957.119	26
958.258	30
959.399	25.5
960.538	29.5
961.676	26.5
962.816	30
963.955	26
965.093	24.5
966.232	22.5
967.37	25.5
968.508	29
969.645	30
970.784	27.25
971.921	24.5
973.058	24
974.195	26
975.333	27.5
976.469	28.5
977.605	27.5
978.741	21.5
979.877	28.5
981.013	25.5
982.15	30.5
983.285	24
984.421	30
985.556	23
986.691	21.5
987.825	27.5
988.96	22.5
990.094	24
991.228	28.5
992.364	24
993.497	21
994.631	26.5
995.765	27
996.898	27
998.031	28
999.164	28
1000.3	28
1001.43	23.5
1002.56	26
1003.69	26.5
1004.83	26.5
1005.96	28
1007.09	23
1008.22	22
1009.35	25
1010.48	24.5
1011.61	20
1012.74	25
1013.88	27.5
1015.01	25
1016.14	26.5
1017.27	25.5
1018.4	24
1019.53	24.5
1020.65	24.5
1021.78	25
1022.91	22.5
1024.04	26
1025.17	25.5
1026.3	25
1027.43	26
1028.56	23.5
1029.68	20.5
1030.81	23
1031.94	25.5
1033.07	24
1034.19	26.5
1035.32	28
1036.45	25.5
1037.58	26.5
1038.7	25.5
1039.83	23.5
1040.95	26.5
1042.08	25.5
1043.21	24.5
1044.33	25
1045.46	24
1046.58	28
1047.71	25
1048.83	21
1049.96	27.5
1051.08	25.5
1052.21	27
1053.33	26.5
1054.45	25.5
1055.58	22
1056.7	24
1057.82	26
1058.95	26.5
1060.07	26
1061.19	27.5
1062.32	24
1063.44	28
1064.56	26
1065.68	22.5
1066.81	21.5
1067.93	27
1069.05	21.5
1070.17	29
1071.29	24
1072.41	28
1073.53	23.5
1074.65	24.5
1075.77	23
1076.89	27.5
1078.01	29.5
1079.13	23
1080.25	26.5
1081.37	27
1082.49	25
1083.61	26.5
1084.73	25
1085.85	18.5
1086.97	25
1088.09	24.5
1089.2	23
1090.32	24.5
1091.44	24
1092.56	22
1093.68	25
1094.79	26
1095.91	27.5
1097.03	22
1098.14	24.5
1099.26	26
1100.38	23
1101.49	24.5
1102.61	24.5
1103.73	24.5
1104.84	23
1105.96	25
1107.07	28.5
1108.19	24.5
1109.3	25
1110.42	25.5
1111.53	25
1112.65	27
1113.76	22.5
1114.88	25
1115.99	24
1117.1	21.5
1118.22	21.5
1119.33	23
1120.44	21
1121.56	23
1122.67	25
1123.78	26
1124.89	23.5
1126.01	29
1127.12	21
1128.23	22
1129.34	24
1130.45	24.5
1131.56	24
1132.67	24.5
1133.79	27
1134.9	28.5
1136.01	20.5
1137.12	26
1138.23	23.5
1139.34	23.5
1140.45	24
1141.56	25.5
1142.67	23
1143.78	21.5
1144.89	25
1145.99	24
1147.1	26.5
1148.21	25
1149.32	24
1150.43	28
1151.54	19
1152.65	27.5
1153.75	24
1154.86	25.5
1155.97	24.5
1157.08	23
1158.18	23.5
1159.29	24
1160.4	26.5
1161.5	21
1162.61	25
1163.72	24
1164.82	28.5
1165.93	22
1167.03	24
1168.14	27
1169.24	24
1170.35	23.5
1171.45	20.5
1172.56	27
1173.66	24
1174.77	21.5
1175.87	20
1176.98	25
1178.08	22
1179.18	23
1180.29	28.5
1181.39	25
1182.49	26.5
