#Acq. time (s)=	5
#Accumulations=	5
#Range (cm-¹)=	100...3500
#Windows=	4
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Instrument=	LabRAM HR Evol
#Detector=	Syncerity OE
#Objective=	x100_VIS
#Grating=	600 (500nm)
#ND Filter=	25%
#Laser=	633nm_Edge
#Hole=	100.021
#Range=	Visible
#Project=	verificaciones
#Sample=	at3
#Site=	plain
#Title=	bolusat3plain
#Remark=	com
#Date=	16.01.2026 17:05
#Acquired=	16.01.2026 17:05:33
616.135	26
617.332	27
618.528	28
619.724	26
620.918	28
622.114	30
623.309	27
624.505	28
625.7	25
626.895	23.5
628.088	31
629.282	29.5
630.477	27
631.671	26
632.865	30
634.057	27
635.251	32.5
636.444	32
637.637	28.5
638.829	26
640.022	29.5
641.214	29.5
642.407	30.5
643.598	30
644.79	27.5
645.982	34.5
647.172	28
648.364	33
649.555	30.5
650.745	26
651.936	32.5
653.126	26.5
654.315	25
655.506	25
656.696	30
657.885	27
659.074	29.5
660.263	26
661.452	30.5
662.64	27
663.829	26
665.018	31.5
666.205	26.5
667.394	27
668.581	30
669.769	28
670.955	31.5
672.143	32
673.329	31
674.517	27
675.703	28.5
676.89	30.5
678.075	29
679.262	31
680.447	33.5
681.632	31.5
682.818	33
684.002	33
685.188	40
686.372	33.5
687.556	34
688.741	35
689.925	33
691.11	36
692.293	29
693.476	35
694.66	36.5
695.843	33.5
697.025	35
698.209	31.5
699.391	35
700.573	40
701.756	40.5
702.938	36.5
704.119	40
705.3	45.5
706.483	44.5
707.664	51
708.844	52.5
710.025	47.5
711.206	48
712.386	41
713.566	44.5
714.746	35
715.925	32
717.106	32
718.285	35
719.464	28
720.643	31.5
721.822	33
723	34
724.178	24
725.358	30
726.536	28
727.713	30.5
728.891	28
730.068	26.5
731.245	27.5
732.422	31
733.599	26
734.775	25
735.952	25
737.128	27.5
738.304	31.5
739.48	28
740.656	29
741.831	24.5
743.006	24
744.181	28.5
745.356	31.5
746.531	27
747.706	25
748.88	26
750.054	25.5
751.228	28.5
752.402	26
753.576	30
754.749	29
755.922	30
757.095	28
758.267	24
759.44	25
760.612	27
761.785	25
762.957	27
764.129	26
765.301	29.5
766.471	28.5
767.642	29
768.814	30
769.985	28
771.156	26.5
772.325	27
773.495	31.5
774.666	28.5
775.836	28
777.005	30
778.174	26
779.344	27.5
780.513	31.5
781.681	29.5
782.85	26.5
784.019	31
785.187	27.5
786.355	29.5
787.523	29.5
788.69	30
789.858	30.5
