#Acq. time (s)=	5
#Accumulations=	5
#Range (cm-¹)=	100...2000
#Windows=	2
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Instrument=	LabRAM HR Evol
#Detector=	Syncerity OE
#Objective=	x100_VIS_LWD
#Grating=	600 (500nm)
#ND Filter=	100%
#Laser=	633nm_Edge
#Hole=	100.021
#Range=	Visible
#Project=	Medicas
#Sample=	smp
#Site=	01-05-25
#Title=	A2_m05
#Remark=	smp5
#Date=	01.04.2025 14:03
#Acquired=	01.04.2025 14:03:44
611.876	32
613.072	37.5
614.269	35.5
615.465	33
616.662	35
617.858	29.5
619.054	36
620.25	31
621.446	31
622.641	38.5
623.835	34
625.031	34
626.226	34.5
627.42	34.5
628.615	33.5
629.809	28
631.002	30
632.196	32.5
633.39	33
634.584	35
635.776	32.5
636.969	35.5
638.162	31.5
639.355	33
640.547	28
641.739	29
642.932	37.5
644.124	33
645.314	31.5
646.506	32
647.698	31
648.888	35
650.079	31.5
651.27	30
652.459	33
653.65	33.5
654.841	29.5
656.03	31.5
657.22	31
658.408	34
659.598	33
660.787	37
661.975	35
663.165	35
664.352	31
665.541	34.5
666.728	32.5
667.917	34.5
669.105	35
670.292	34.5
671.479	35
672.666	36
673.853	36.5
675.039	35.5
676.226	38
677.412	39
678.597	36.5
679.784	35
680.969	42.5
682.155	41
683.34	43.5
684.526	43
685.71	44.5
686.894	45.5
688.079	43
689.263	46
690.448	43.5
691.631	39
692.814	46.5
693.998	41
695.181	41
696.364	45
697.548	48
698.73	49
699.912	47
701.095	49.5
702.277	47
703.458	55
704.641	62
705.822	65
707.003	65.5
708.184	64
709.366	72.5
710.546	74
711.726	68
712.906	61
714.086	50.5
715.267	52
716.446	44.5
717.626	44
718.805	40
719.984	38
721.164	33
722.342	34
723.52	34.5
724.699	36
725.877	30
727.054	33.5
728.232	36
729.409	36
730.587	27
731.765	32
732.942	32
734.119	31.5
735.295	29.5
736.471	34
737.647	31
738.823	31.5
739.999	31.5
741.175	33
742.35	33.5
743.525	30.5
744.7	32
745.875	33.5
747.05	29
748.224	31
749.399	28.5
750.573	30
751.747	31
752.92	29.5
754.093	28
755.266	33.5
756.439	36
757.612	33
758.785	32.5
759.958	27
761.13	32.5
762.302	31
763.473	30
764.645	30
765.817	30.5
766.988	35.5
768.16	31
769.331	30.5
770.5	29.5
771.671	35
772.842	34.5
774.012	34
775.181	29.5
776.351	30
777.521	30.5
