#Acq. time (s)=	5
#Accumulations=	5
#Range (cm-¹)=	100...2000
#Windows=	2
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Instrument=	LabRAM HR Evol
#Detector=	Syncerity OE
#Objective=	x100_VIS_LWD
#Grating=	600 (500nm)
#ND Filter=	100%
#Laser=	633nm_Edge
#Hole=	100.021
#Range=	Visible
#Project=	Medicas
#Sample=	01
#Site=	01-05-25
#Title=	A1_m06
#Remark=	smp5
#Date=	01.04.2025 14:36
#Acquired=	01.04.2025 14:36:15
609.481	66
610.679	61
611.876	64
613.072	67.5
614.269	63.5
615.465	63
616.662	63
617.858	64
619.054	69.5
620.25	63
621.446	68
622.641	70
623.835	65.5
625.031	59
626.226	62
627.42	65
628.615	65
629.809	66.5
631.002	68.5
632.196	64.5
633.39	67
634.584	63.5
635.776	66.5
636.969	66.5
638.162	64
639.355	64
640.547	65.5
641.739	71.5
642.932	69.5
644.124	69
645.314	71.5
646.506	69
647.698	68.5
648.888	69
650.079	71
651.27	63.5
652.459	64
653.65	67
654.841	66
656.03	72.5
657.22	65.5
658.408	72.5
659.598	63
660.787	69.5
661.975	70.5
663.165	66.5
664.352	71
665.541	70
666.728	72
667.917	75.5
669.105	75.5
670.292	72
671.479	71.5
672.666	72.5
673.853	77
675.039	71
676.226	73.5
677.412	82
678.597	79
679.784	78
680.969	85.5
682.155	85
683.34	89
684.526	92
685.71	95
686.894	97.5
688.079	96.5
689.263	93
690.448	95.5
691.631	92.5
692.814	94
693.998	97
695.181	92.5
696.364	99.5
697.548	96.5
698.73	106
699.912	106.5
701.095	107.5
702.277	113
703.458	120.5
704.641	135.5
705.822	154.5
707.003	166.5
708.184	178
709.366	184
710.546	185
711.726	172
712.906	154
714.086	138
715.267	120
716.446	109.5
717.626	92
718.805	90
719.984	87
721.164	83
722.342	83.5
723.52	77
724.699	71.5
725.877	80.5
727.054	62
728.232	71.5
729.409	68
730.587	73
731.765	64.5
732.942	62.5
734.119	64.5
735.295	71.5
736.471	72
737.647	63
738.823	66
739.999	62.5
741.175	65
742.35	70.5
743.525	65.5
744.7	65
745.875	62
747.05	63
748.224	67
749.399	65
750.573	66
751.747	64.5
752.92	63.5
754.093	63
755.266	60.5
756.439	65
757.612	67.5
758.785	64
759.958	62
761.13	64
762.302	60
763.473	60.5
764.645	64
765.817	64
766.988	64.5
768.16	60
769.331	61
770.5	60.5
771.671	68
772.842	62
774.012	63
775.181	69.5
776.351	66.5
777.521	66
778.691	65.5
779.859	72.5
781.028	69
782.198	77
783.367	80
784.534	73
785.703	81
786.871	82.5
788.038	76
789.206	72
790.374	76.5
791.54	78.5
792.708	77
793.874	77
795.041	70
796.208	72.5
797.374	75
798.54	69
799.705	76.5
800.872	68
802.038	71.5
803.202	67
804.368	72
805.532	64
806.697	70
807.861	64.5
809.026	67
810.19	68
811.354	63.5
812.517	68
813.682	70.5
814.844	69.5
816.008	66
817.171	69
818.334	60.5
819.496	63.5
820.658	65.5
821.821	61
822.983	62.5
824.145	65
825.306	65
826.467	63
827.629	62
828.79	60
829.95	59.5
831.112	63
832.272	58
833.432	65.5
834.593	60.5
835.752	57.5
836.912	66
838.072	62
839.231	69
840.39	68
841.548	64
842.708	64.5
843.866	65.5
845.025	58.5
846.182	64
847.341	64.5
848.499	65
849.656	65
850.813	70
851.97	63
853.129	65
854.285	66
855.442	67.5
856.598	71
857.754	68
858.91	73
860.066	75.5
861.223	66.5
862.378	73.5
863.533	76.5
864.688	72
865.843	68.5
866.998	71.5
868.152	72
869.306	71
870.46	71
871.614	65.5
872.768	63.5
873.922	66
875.075	64
876.228	69
877.381	62.5
878.534	62
879.687	62
880.839	64
881.992	65
883.144	65
884.296	61.5
885.448	64
886.599	62.5
887.751	61
888.902	64.5
890.053	61.5
891.203	63
892.353	61
893.504	64
894.654	64.5
895.805	57
896.955	62
898.103	58
899.253	56
900.402	59.5
901.552	55
902.701	59
903.848	59
904.997	57.5
906.146	57.5
907.294	55
908.442	56.5
909.589	64
910.737	58.5
911.885	62
913.031	60
914.178	64.5
915.326	58
916.471	60.5
917.618	63.5
918.765	61.5
919.91	57.5
921.056	58
922.202	59.5
923.347	58
924.493	61
925.638	59
926.782	57
927.928	57
929.071	59.5
930.216	60
931.361	63
932.504	55
933.648	60
934.791	58.5
935.935	60
937.078	57
938.221	57.5
939.364	57
940.507	56
941.649	60.5
942.792	51.5
943.933	55
945.076	59.5
946.217	61
947.359	54
948.5	57
949.64	58
950.782	62.5
951.922	57.5
953.064	55
954.204	53.5
955.343	60
956.484	61
957.623	58.5
958.763	55
959.903	65
961.042	60
962.18	55
963.32	56
964.458	59
965.597	62
966.736	57
967.874	55
969.011	56
970.149	59
971.287	59.5
972.424	59
973.561	57
974.698	61
975.836	58
976.972	59.5
978.108	60
979.244	58
980.38	60.5
981.516	60
982.653	61
983.788	59
984.923	55
986.058	60.5
987.193	59
988.328	58.5
989.462	56
990.596	60
991.732	57
992.866	58
993.999	62.5
995.133	59
996.266	55
997.4	54
998.533	58
999.666	62
1000.8	57.5
1001.93	56.5
1003.06	65.5
1004.2	58
1005.33	57
1006.46	56.5
1007.59	58.5
1008.72	60
1009.85	62.5
1010.99	56.5
1012.12	57
1013.25	59.5
1014.38	56.5
1015.51	63
1016.64	58
1017.77	59
1018.9	63.5
1020.03	57
1021.16	61
1022.28	59
1023.41	59
1024.54	51
1025.67	58
1026.8	60.5
1027.93	60.5
1029.06	55
1030.18	56
1031.31	58.5
1032.44	59.5
1033.57	59
1034.69	62
1035.82	58
1036.95	55
1038.07	60.5
1039.2	53
1040.33	56
1041.45	55
1042.58	61.5
1043.7	63
1044.83	60.5
1045.96	62.5
1047.08	57
1048.21	52.5
1049.33	57
1050.45	55
1051.58	52
1052.7	58
1053.83	55
1054.95	63.5
1056.08	62.5
1057.2	59
1058.32	61.5
1059.45	60
1060.57	56
1061.69	55.5
1062.81	58
1063.94	54
1065.06	54.5
1066.18	55
1067.3	56.5
1068.42	57.5
1069.55	56.5
1070.67	60.5
1071.79	61
1072.91	54
1074.03	58.5
1075.15	57.5
1076.27	62
1077.39	52
1078.51	60.5
1079.63	53.5
1080.75	54
1081.87	59
1082.99	58
1084.11	58
1085.23	56
1086.35	57.5
1087.46	56
1088.58	54
1089.7	56
1090.82	51.5
1091.94	56.5
1093.05	60
1094.17	58
1095.29	63
1096.41	56.5
1097.52	53.5
1098.64	55.5
1099.76	58.5
1100.87	60.5
1101.99	56.5
1103.1	63
1104.22	56.5
1105.34	61
1106.45	58.5
1107.57	62.5
1108.68	54
1109.8	58
1110.91	60
1112.03	57
1113.14	59
1114.25	52
1115.37	55
1116.48	51
1117.6	55.5
1118.71	57.5
1119.82	55
1120.94	54
1122.05	52.5
1123.16	59
1124.27	56
1125.39	59.5
1126.5	56
1127.61	54
1128.72	56.5
1129.83	52
1130.95	52
1132.06	51.5
1133.17	55
1134.28	54
1135.39	57
1136.5	56
1137.61	59
1138.72	56
1139.83	55
1140.94	50.5
1142.05	56
1143.16	57
1144.27	56.5
1145.38	53
1146.49	58
1147.6	61
1148.7	58
1149.81	57.5
1150.92	58
1152.03	57.5
1153.14	52
1154.25	53
1155.35	55
1156.46	58
1157.57	55
1158.67	53
1159.78	54
1160.89	54
1161.99	61
1163.1	55
1164.21	50.5
1165.31	58
1166.42	59.5
1167.52	52
1168.63	54
1169.73	53
1170.84	54
1171.94	51.5
1173.05	53
1174.15	53.5
1175.26	57
1176.36	59
1177.46	52
1178.57	53
1179.67	55
1180.78	55.5
1181.88	57
1182.98	56
1184.08	58.5
1185.19	56
1186.29	54
1187.39	54.5
1188.49	57.5
1189.6	58.5
1190.7	56
1191.8	53
1192.9	59
1194	54.5
1195.1	55.5
1196.2	54
1197.31	59.5
1198.41	56
1199.51	57.9625
1200.61	52.4298
1201.71	53.8707
1202.81	54.9176
1203.91	58.3861
1205	53.3163
1206.1	53.6384
1207.2	55.9509
1208.3	53.3612
1209.4	56.095
1210.5	54.0863
1211.6	55.4175
1212.7	53.0181
1213.79	56.2662
1214.89	53.1166
1215.99	52.0314
1217.09	55.5148
1218.18	52.6639
1219.28	53.0971
1220.38	54.6352
1221.47	54.406
1222.57	51.3446
1223.67	51.4531
1224.77	56.12
1225.86	49.7599
1226.96	57.509
1228.05	58.6048
1229.15	57.3874
1230.24	58.7739
1231.34	57.3132
1232.43	51.7236
1233.53	52.4387
1234.62	51.4615
1235.72	53.6657
1236.81	56.246
1237.91	50.7243
1239	56.04
1240.09	55.0351
1241.19	48.6752
1242.28	52.4151
1243.37	53.2753
1244.47	52.5565
1245.56	53.1338
1246.65	52.665
1247.75	54.2452
1248.84	53.6138
1249.93	53.5263
1251.02	55.0842
1252.11	55.2462
1253.2	55.6074
1254.3	56.594
1255.39	58.2324
1256.48	63.9048
1257.57	62.1697
1258.66	63.0705
1259.75	63.2837
1260.84	65.6705
1261.93	62.7227
1263.02	62.9983
1264.11	64.3158
1265.2	61.1975
1266.29	62.1061
1267.38	58.0379
1268.47	56.4716
1269.56	54.8042
1270.65	52.1025
1271.74	55.3202
1272.82	55.0253
1273.91	54.1386
1275	52.4913
1276.09	51.8238
1277.18	52.1884
1278.26	52.1615
1279.35	52.5452
1280.44	50.1201
1281.53	50.6318
1282.61	51.4971
1283.7	51.0215
1284.79	50.749
1285.87	51.002
1286.96	51.4511
1288.04	52.0735
1289.13	54.4327
1290.22	53.0733
1291.3	52.5552
1292.39	50.87
1293.47	51.5263
1294.56	51.8089
1295.64	51.3996
1296.73	52.4488
1297.81	48.4387
1298.89	52.3957
1299.98	46.9757
1301.06	50.5486
1302.15	55.3098
1303.23	52.4764
1304.31	51.575
1305.4	50.7193
1306.48	48.9925
1307.56	48.905
1308.44	50.5
1309.53	51.5
1310.62	49
1311.7	47.5
1312.79	56
1313.88	50.5
1314.97	51
1316.05	54
1317.14	48
1318.23	53
1319.31	55.5
1320.4	50
1321.49	50
1322.57	53.5
1323.66	55
1324.74	49
1325.83	45
1326.91	54.5
1328	51.5
1329.08	50
1330.17	51
1331.25	48
1332.34	52
1333.42	49.5
1334.5	47
1335.59	52
1336.67	49
1337.76	49.5
1338.84	53.5
1339.92	51
1341.01	50.5
1342.09	46.5
1343.17	47.5
1344.25	57.5
1345.34	48.5
1346.42	47.5
1347.5	51.5
1348.58	54
1349.66	53
1350.75	52.5
1351.83	50
1352.91	49
1353.99	51
